gotu,covered_length,total_length,coverage_ratio,strain
G000149685,92781,15547812,0.005967463,Lodderomyces elongisporus
G000237345,66861,11219719,0.00595924,Naumovozyma castellii
G001278385,48435,8152448,0.00594116,Malassezia pachydermatis
G002251995,47941,8153160,0.005880051,Wickerhamiella sorbophila
G003054445,63011,10812635,0.005827534,Pichia kudriavzevii
G000171015,192453,36144224,0.005324585,Trichoderma atroviride
G001672515,255215,50716583,0.005032181,Colletotrichum higginsianum
G001641265,172296,35819841,0.004810072,Pseudogymnoascus destructans
G000149585,156974,33035906,0.004751618,Histoplasma capsulatum
G000150035,67574,14680191,0.004603074,Vanderwaltozyma polyspora
G000167675,150625,33397233,0.004510104,Trichoderma reesei
G000002715,119094,27862281,0.004274381,Aspergillus clavatus
G002105155,180950,42771689,0.004230602,Lobosporangium transversale
G000240135,152748,36458406,0.004189651,Fusarium graminearum
G001664045,36641,8974491,0.004082794,Ogataea polymorpha
G000227115,54981,13527780,0.004064303,Naumovozyma dairenensis
G003316985,150948,37780712,0.003995372,Fusarium coffeatum
G003184535,131963,34795012,0.003792584,Aspergillus eucalypticola
G000315875,47765,12659541,0.003773044,Candida orthopsilosis
G000026365,35716,9764755,0.003657644,Zygosaccharomyces rouxii
G000315915,51223,14048773,0.003646084,Tetrapisispora blattae
G000304475,40271,11130360,0.003618122,Kazachstania africana
G002847485,100151,28258716,0.003544075,Aspergillus campestris
G000264905,164316,46514783,0.003532554,Stereum hirsutum
G000150735,105596,29953660,0.003525312,Paracoccidioides brasiliensis
G002847465,110150,32441349,0.003395358,Aspergillus novofumigatus
G000002855,110327,34007051,0.003244239,Aspergillus niger
G001481775,121907,37911671,0.003215553,Trichoderma gamsii
G000150705,101556,32927428,0.003084237,Paracoccidioides lutzii
G001773325,102671,33736952,0.00304328,Penicillium arizonense
G001661395,37245,12403630,0.00300275,Hyphopichia burtonii
G000348985,32460,10846061,0.002992792,Kazachstania naganishii
G000747765,52386,18115885,0.002891716,Moesziomyces antarcticus
G000223485,37388,13182239,0.00283624,Spathaspora passalidarum
G000142805,28900,10393002,0.002780717,Lachancea thermotolerans
G000002655,81400,29385098,0.002770112,Aspergillus fumigatus
G001661345,47707,17505238,0.002725299,Ascoidea rubescens
G000003515,60699,22350618,0.002715764,Uncinocarpus reesii
G000149985,100941,37998405,0.002656454,Pyrenophora tritici-repentis
G003025115,86964,33225801,0.002617364,Trichoderma citrinoviride
G000204055,263974,101138248,0.002610031,Melampsora larici-populina
G000359705,109959,43021665,0.002555898,Exserohilum turcicum
G003344945,94895,37519776,0.0025292,Aspergillus welwitschiae
G002926085,31743,12580540,0.002523183,[Candida] duobushaemulonis
G000523435,77705,31284796,0.002483794,Bipolaris zeicola
G000236905,30000,12115390,0.002476189,Tetrapisispora phaffii
G000182805,93655,38423023,0.002437471,Sordaria macrospora
G000001985,69678,28652885,0.002431797,Talaromyces marneffei
G000230375,109300,45126119,0.002422101,Leptosphaeria maculans
G000354255,79762,32933287,0.002421926,Bipolaris maydis
G000027005,22295,9216438,0.002419047,Komagataella phaffii
G000235365,22843,9669564,0.002362361,Eremothecium cymbalariae
G000523455,73762,31374457,0.002351021,Bipolaris oryzae
G000721755,59597,25798196,0.002310123,Aureobasidium subglaciale
G003025105,85877,37472970,0.002291705,Trichoderma asperellum
G010094145,78815,34392727,0.002291618,Didymella exigua
G000184455,86584,37912234,0.002283801,Aspergillus oryzae
G000721765,57790,25429521,0.002272556,Aureobasidium namibiae
G000006275,83184,36898944,0.002254373,Aspergillus flavus
G000527765,73949,32843075,0.002251586,Bipolaris victoriae
G000938715,24759,11092591,0.00223203,Lachancea lanzarotensis
G003184835,81988,36949618,0.002218913,Aspergillus costaricensis
G001640025,35300,15938318,0.002214788,Sugiyamaella lignohabitans
G003184625,77566,35419804,0.002189905,Aspergillus neoniger
G003184755,73696,35281251,0.002088815,Aspergillus piperis
G004022145,61865,30107509,0.002054803,Byssochlamys spectabilis
G000143365,71196,34887659,0.002040722,Chaetomium globosum
G000143185,78479,38482726,0.002039331,Schizophyllum commune
G008694065,77567,38655209,0.002006638,Daldinia childiae
G004355905,89328,44558422,0.002004739,Pyricularia grisea
G001653265,76652,38537841,0.001989006,Purpureocillium lilacinum
G004337985,96640,49119180,0.00196746,Pyricularia pennisetigena
G000182925,80786,41102778,0.001965463,Neurospora crassa
G001477535,16325,8397620,0.001944003,Pneumocystis jirovecii
G003184925,68964,35664554,0.001933685,Aspergillus vadensis
G000281105,54852,28648681,0.001914643,Coniosporium apollinis
G000303195,70456,36978859,0.001905305,Fusarium pseudograminearum
G000149335,53191,29016139,0.001833152,Coccidioides immitis
G000338995,62047,34412227,0.001803051,Bipolaris sorokiniana
G003144135,30961,17184862,0.001801644,Pseudomicrostroma glucosiphilum
G000151335,47960,27014492,0.001775343,Coccidioides posadasii
G002102565,30540,17466453,0.001748495,Kockovaella imperatae
G002237265,53950,30958894,0.001742633,Aspergillus thermomutatus
G000149615,50608,29364542,0.001723439,Aspergillus terreus
G010724455,51842,30244490,0.001714097,Aspergillus lentulus
G010093625,56918,33337586,0.001707322,Macroventuria anomochaeta
G000170995,66422,39024506,0.001702059,Trichoderma virens
G003851025,65946,39020969,0.001690014,Sparassis crispa
G009193645,60959,37787974,0.001613185,Aspergillus pseudonomius
G000149845,18764,11733774,0.001599144,Schizosaccharomyces japonicus
G002926055,21163,13314543,0.001589465,[Candida] haemuloni
G000150825,51381,32863508,0.001563467,Verticillium alfalfae
G000320565,45530,29353523,0.001551091,Sphaerulina musiva
G000708205,20832,13637588,0.001527543,Mixia osmundae
G001661415,19525,13136504,0.001486316,Suhomyces tanzawaensis
G003942205,37606,25480076,0.001475898,Apiotrichum porosum
G000219625,58405,39686651,0.001471654,Zymoseptoria tritici
G000209165,22671,15441319,0.001468204,Scheffersomyces stipitis
G000149035,75004,51657367,0.001451952,Colletotrichum graminicola
G000146945,55581,38459884,0.001445168,Sclerotinia sclerotiorum
G000151425,32111,22530713,0.00142521,Trichophyton rubrum
G001636725,47583,33494542,0.00142062,Cordyceps fumosorosea
G000226115,52408,36912356,0.001419796,Thermothielavioides terrestris
G000151145,32818,23263411,0.001410713,Microsporum canis
G009193445,53760,38248889,0.001405531,Aspergillus pseudotamarii
G001831195,67682,48562862,0.001393699,Colletotrichum orchidophilum
G000149925,123510,88732216,0.001391941,Puccinia graminis
G001638985,74973,53940747,0.001389914,Phycomyces blakesleeanus
G000003125,49476,35701823,0.001385812,Talaromyces stipitatus
G008704595,18471,13449319,0.001373378,Diutina rugosa
G000091045,26132,19052182,0.001371601,Cryptococcus neoformans
G000225605,43735,32269198,0.001355317,Cordyceps militaris
G000151125,29843,22225500,0.001342737,Trichophyton benhamiae
G000002945,16777,12591311,0.001332427,Schizosaccharomyces pombe
G000230625,34769,26376967,0.001318158,Exophiala dermatitidis
G003144115,24169,18762681,0.001288142,Tilletiopsis washingtonensis
G003184525,47146,36723105,0.001283824,Aspergillus sclerotioniger
G000150505,14900,11634553,0.001280668,Schizosaccharomyces octosporus
G000149205,38587,30277769,0.001274433,Aspergillus nidulans
G000226095,49315,38744336,0.001272831,Thermothelomyces thermophilus
G001661235,14564,11582330,0.001257433,Pichia membranifaciens
G003025095,51114,40991268,0.001246948,Trichoderma harzianum
G000213175,48224,39147933,0.00123184,Neurospora tetrasperma
G000271585,54813,44799648,0.001223514,Trametes versicolor
G000203795,29701,24317601,0.001221379,Batrachochytrium dendrobatidis
G000280675,40572,33702514,0.001203827,Beauveria bassiana
G000150975,27572,23273302,0.001184705,Nannizzia gypsea
G000497045,20248,17326287,0.001168629,Kalmanozyma brasiliensis
G010093885,38292,32825345,0.001166538,Aplosporella prunicola
G000277815,2626,2252004,0.001166073,Encephalitozoon hellem
G000313485,18523,15908412,0.001164353,Wickerhamomyces ciferrii
G001890105,30151,26093131,0.001155515,Penicilliopsis zonata
G003144205,20078,17384135,0.001154961,Meira miltonrushii
G001890905,40131,35437594,0.001132441,Aspergillus aculeatus
G000143105,32996,29799766,0.001107257,Grosmannia clavigera
G000403515,20312,18444398,0.001101256,Pseudozyma hubeiensis
G001883845,38483,34989679,0.001099839,Diplodia corticola
G002742065,39708,37062053,0.001071392,Cercospora beticola
G000146465,2374,2217098,0.001070769,Encephalitozoon intestinalis
G000814965,39664,37067986,0.001070034,Metarhizium brunneum
G003144295,20652,19330651,0.001068355,Acaromyces ingoldii
G000187245,9386,8874709,0.001057612,Ogataea parapolymorpha
G001477545,7896,7662676,0.001030449,Pneumocystis carinii
G010015815,35129,34434679,0.001020163,Dothidotthia symphoricarpi
G003426965,38653,38719648,0.000998279,Aspergillus tanneri
G011692745,23434,23563336,0.000994511,Arthroderma uncinatum
G000298775,51635,51951637,0.000993905,Marssonina brunnea
G003013735,12511,12591975,0.000993569,[Candida] pseudohaemulonis
G000293215,24261,24541851,0.000988556,Trichosporon asahii
G000223465,10520,10747530,0.00097883,Yamadazyma tenuis
G000143565,62916,64890724,0.000969568,Laccaria bicolor
G000516985,50116,51911486,0.000965413,Pestalotiopsis fici
G001792695,35897,37483585,0.000957673,Aspergillus bombycis
G003711515,41188,43450656,0.000947926,Sodiomyces alkalinus
G001204775,33963,36159580,0.000939253,Aspergillus nomiae
G000218685,40161,42798133,0.000938382,Serpula lacrymans
G003184585,29069,31098569,0.000934738,Aspergillus saccharolyticus
G000732125,39714,43440639,0.000914213,Scedosporium apiospermum
G000150675,30909,33901404,0.000911732,Verticillium dahliae
G000400465,8751,9657252,0.000906158,Wallemia ichthyophaga
G001664035,14403,16056143,0.00089704,Metschnikowia bicuspidata
G003184785,32234,36103194,0.00089283,Aspergillus japonicus
G003144195,21398,24153100,0.000885932,Ceraceosorus guamensis
G000226545,30064,34719534,0.00086591,Podospora anserina
G000836115,28073,32912889,0.000852949,Exophiala spinifera
G000221225,24052,28323206,0.000849198,Chaetomium thermophilum
G009193585,33961,40030911,0.000848369,Aspergillus caelatus
G000187405,33436,39427129,0.000848046,Metarhizium acridum
G000349005,6228,7501723,0.000830209,Pneumocystis murina
G009771025,48172,58065355,0.000829617,Colletotrichum fructicola
G000328475,16102,19664876,0.00081882,Ustilago maydis
G003184745,28940,35854123,0.00080716,Aspergillus uvarum
G000760515,4315,5647252,0.000764088,Mitosporidium daphniae
G008629635,16059,21300174,0.000753938,Kwoniella shandongensis
G000464535,27896,37148751,0.000750927,Endocarpon pusillum
G003184765,27359,36474049,0.000750095,Aspergillus aculeatinus
G010093815,26272,35442567,0.000741256,Pseudovirgaria hyperparasitica
G000002495,30356,40980161,0.000740749,Pyricularia oryzae
G000271645,20769,28640799,0.000725154,Tremella mesenterica
G000151355,37167,51290657,0.000724635,[Nectria] haematococca
G000585565,20588,28889978,0.000712635,Capronia epimyces
G002847045,19141,27323112,0.000700542,Aspergillus candidus
G000417875,16204,23306140,0.000695267,Anthracocystis flocculosa
G000961545,22432,32375403,0.000692872,Sporothrix schenckii
G009176365,27786,40175128,0.000691622,Aspergillus alliaceus
G003184695,25663,37480240,0.000684707,Aspergillus brunneoviolaceus
G003184865,23271,34057886,0.000683278,Aspergillus homomorphus
G001027345,13553,19839138,0.000683145,Cutaneotrichosporon oleaginosum
G001661265,9546,14136866,0.000675256,Saitoella complicata
G000576695,7671,11371366,0.000674589,Kuraishia capsulata
G001651985,23096,34749095,0.00066465,Fonsecaea erecta
G000145635,28606,43778984,0.000653419,Gaeumannomyces tritici
G000835505,20458,31406040,0.000651403,Exophiala xenobiotica
G003184845,21772,33440283,0.000651071,Aspergillus ibericus
G000182565,15542,24131852,0.000644045,Spizellomyces punctatus
G000004155,7365,11555344,0.000637367,Schizosaccharomyces cryophilus
G000836295,20231,31787789,0.000636439,Verruconis gallopava
G001907595,19114,30859502,0.000619388,Talaromyces atroroseus
G000151505,13946,22551407,0.000618409,Trichophyton verrucosum
G000320585,20276,33650247,0.000602551,Heterobasidion irregulare
G001619985,14375,24338283,0.000590633,Xylona heveae
G001642475,20324,35236257,0.000576792,Fonsecaea monophora
G000439145,75430,136748513,0.000551596,Rhizophagus irregularis
G001646965,18342,33792587,0.000542782,Fonsecaea nubica
G010015735,21086,38902129,0.000542027,Aaosphaeria arxii
G000091225,1304,2497719,0.000522076,Encephalitozoon cuniculi
G007821495,17503,33842024,0.000517197,Lachnellula hyalina
G001653235,22855,44216763,0.000516885,Pochonia chlamydosporia
G000338955,11005,21875980,0.000503063,Baudoinia panamericana
G000365145,14367,28781663,0.000499172,Cyphellophora europaea
G000968595,13872,28266025,0.000490766,Rasamsonia emersonii
G003369625,21545,45345076,0.000475134,Aspergillus mulundensis
G010015565,12559,26538295,0.000473241,Dissoconium aciculare
G003019875,13502,28633538,0.000471545,Amorphotheca resinae
G010093505,9587,20433208,0.000469187,Neohortaea acidophila
G001299255,14126,30366235,0.000465188,Phialophora attinorum
G000225545,18129,40077109,0.000452353,Arthrobotrys oligospora
G000187425,18671,41658580,0.000448191,Metarhizium robertsii
G002865645,36513,82388947,0.000443178,Hyaloscypha bicolor
G002708625,11277,25974995,0.000434148,Rhizopus microsporus
G001661335,6606,15222010,0.000433977,Babjeviella inositovora
G001642045,16130,38465224,0.00041934,Paraphaeosphaeria sporulosa
G000507465,8769,22655731,0.000387054,Kwoniella mangrovensis
G000392275,18165,47477909,0.000382599,Phaeoacremonium minimum
G010094085,10292,26981606,0.000381445,Westerdykella ornata
G900074925,11990,32256462,0.000371708,Ramularia collo-cygni
G000320785,7432,20225802,0.000367451,Rhodotorula toruloides
G000182895,12444,36193930,0.000343815,Coprinopsis cinerea
G000365165,9291,28991471,0.000320474,Cladophialophora carrionii
G000835455,10662,34689080,0.000307359,Fonsecaea pedrosoi
G000340215,22399,74142267,0.000302108,Pseudocercospora fijiensis
G001662655,9082,30177856,0.000300949,Pseudogymnoascus verrucosus
G002117355,12715,42463848,0.000299431,Postia placenta
G000271605,17801,63382639,0.00028085,Fomitiporia mediterranea
G000585535,10728,39422567,0.000272128,Cladophialophora psammophila
G000151645,33874,124953642,0.000271093,Tuber melanosporum
G000344685,9722,37187045,0.000261435,Gloeophyllum trabeum
G000264995,8884,34175781,0.00025995,Punctularia strigosozonata
G010094035,12241,47747773,0.000256368,Trematosphaeria pertusa
G010093935,9376,38253023,0.000245105,Zasmidium cellare
G000835475,8780,36723732,0.000239082,Cladophialophora bantiana
G000313525,6606,28395239,0.000232645,Fibroporia radiculosa
G000512565,5459,23862632,0.000228768,Kwoniella dejecticola
G000836275,6508,29273883,0.000222314,Exophiala mesophila
G000300595,10244,46316045,0.000221176,Phanerochaete carnosa
G000709125,9052,41569958,0.000217753,Exophiala aquamarina
G000275845,9134,42759250,0.000213615,Dichomitus squalens
G000835495,8878,43034672,0.000206299,Cladophialophora immunda
G010093535,13853,69034626,0.000200667,Lindgomyces ingoldianus
G001500285,9594,48877657,0.000196286,Phialocephala scopiformis
G000585585,4971,25807813,0.000192616,Capronia coronata
G000409485,7562,39510154,0.000191394,Glarea lozoyensis
G003144245,3035,16615986,0.000182655,Jaminaea rosea
G010015585,4899,26865895,0.00018235,Eremomyces bilateralis
G010093595,8395,47276492,0.000177572,Mytilinidion resinicola
G001720205,3575,20255276,0.000176497,Cryptococcus amylolentus
G000585515,4823,27898562,0.000172876,Cladophialophora yegresii
G000711695,3231,18709770,0.000172691,Tilletiaria anomala
G000271625,7384,42972724,0.00017183,Coniophora puteana
G006535985,4409,26247535,0.000167978,Synchytrium microbalum
G000512585,3770,24360992,0.000154756,Kwoniella bestiolae
G003357145,5082,33640415,0.000151068,Venustampulla echinocandica
G000836435,4912,33448395,0.000146853,Fonsecaea multimorphosa
G001720155,2846,19971439,0.000142504,Cryptococcus wingfieldii
G000512605,2942,20828924,0.000141246,Kwoniella pini
G000803265,276,2290808,0.000120482,Ordospora colligata
G000988165,642,5701448,0.000112603,Nosema ceranae
G000231115,325,3217896,0.000100998,Vittaforma corneae
G000250985,383,4072626,9.40E-05,Nematocida parisii
G000192795,573,6126249,9.35E-05,Vavraia culicis
G000835555,2184,32474751,6.73E-05,Rhinocladiella mackenziei
